Name,Address,Rating,Website,Price,City,State
"Holiday Inn Seattle Downtown - Lake Union, an IHG Hotel","211 Dexter Ave N, Seattle, WA 98109, USA",3.9,https://www.ihg.com/holidayinn/hotels/us/en/seattle/seasc/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SEASC,215,Seattle,WC
Hilton Nashville Downtown,"121 4th Ave S, Nashville, TN 37201, USA",4.5,https://www.hilton.com/en/hotels/bnanshf-hilton-nashville-downtown/?SEO_id=GMB-AMER-HH-BNANSHF&y_source=1_MTIyMDc4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,199,Nashville,TN
Margaritaville Hotel Nashville,"425 Rep. John Lewis Way S, Nashville, TN 37203, USA",4.5,https://www.margaritavilleresorts.com/margaritaville-hotel-nashville?utm_source=local&utm_medium=organic&utm_campaign=website_link,90,Nashville,TN
"Country Inn & Suites by Radisson, Nashville Airport East, TN","3423 Percy Priest Dr, Nashville, TN 37214, USA",4.1,https://www.choicehotels.com/tennessee/nashville/country-inn-suites-hotels/tn740?mc=llgoxxpx,135,Nashville,TN
Four Seasons Hotel Nashville,"100 Demonbreun St, Nashville, TN 37201, USA",4.6,https://www.fourseasons.com/nashville/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-nsh-hre-mid-seo-na&utm_content=na-na&utm_term=na,248,Nashville,TN
"The Union Station Nashville Yards, Autograph Collection","1001 Broadway, Nashville, TN 37203, USA",4.6,https://www.marriott.com/en-us/hotels/bnaak-the-union-station-nashville-yards-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,121,Nashville,TN
The Hermitage Hotel,"231 6th Ave N, Nashville, TN 37219, USA",4.7,https://www.thehermitagehotel.com/?utm_source=local&utm_medium=organic&utm_campaign=website_link,200,Nashville,TN
Omni Nashville Hotel,"250 Rep. John Lewis Way S, Nashville, TN 37203, USA",4.5,https://www.omnihotels.com/hotels/nashville?utm_source=gmblisting&utm_medium=organic,139,Nashville,TN
Hyatt Centric Downtown Nashville,"210 Molloy St, Nashville, TN 37201, USA",4.2,https://www.hyatt.com/hyatt-centric/en-US/bnact-hyatt-centric-downtown-nashville?src=corp_lclb_google_seo_bnact&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,104,Nashville,TN
Grand Hyatt Nashville,"1000 Broadway, Nashville, TN 37203, USA",4.4,https://www.hyatt.com/grand-hyatt/en-US/bnarn-grand-hyatt-nashville?src=corp_lclb_google_seo_bnarn&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,122,Nashville,TN
